frame_number;frame_timestamp;mean_rr;sdnn;sdsd;rmssd;sd1;sd2;lf_hf
0;0;728.585.388;86.938.187;111.055.595;109.785.934;78.528.168;109.695.763;2.212.790
1;2909;725.404.785;83.848.022;100.761.192;99.619.156;71.248.924;107.344.200;2.415.015
2;3343;718.627.930;94.010.139;110.244.492;109.018.456;77.954.628;120.984.917;2.323.980
3;4167;723.809.509;94.343.239;124.938.797;123.445.183;88.345.070;117.893.456;2.467.355
4;4682;718.953.491;98.502.350;132.171.112;130.785.370;93.459.091;122.630.035;3.605.068
5;7803;712.454.529;97.933.403;134.862.656;133.334.000;95.362.297;120.974.869;2.500.333
6;10477;720.372.070;107.096.977;137.652.878;136.068.390;97.335.281;134.916.443;3.267.231
7;11457;727.953.491;113.626.358;141.351.562;139.920.486;99.950.645;144.315.048;4.052.423
8;13737;752.487.793;153.759.903;157.767.059;156.058.533;111.558.159;202.636.627;2.583.307
9;14231;746.333.313;157.023.331;179.041.611;176.978.210;126.601.540;203.220.749;1.713.448
10;14746;741.547.607;160.983.444;177.342.819;175.426.422;125.400.307;209.687.195;1.179.960
11;15606;741.333.313;160.815.552;181.468.765;179.385.590;128.317.795;208.543.884;1.167.364
12;17676;750.780.518;184.595.840;229.674.118;226.997.849;162.404.129;234.443.375;0.565309
13;18349;749.317.078;184.977.768;233.426.117;230.561.874;165.057.190;234.118.790;0.560023
14;18894;746.146.362;187.382.034;234.142.136;231.310.425;165.563.492;237.736.038;0.609879
15;19831;751.390.259;189.683.670;241.454.361;238.502.441;170.734.009;239.551.117;0.515621
16;20259;741.219.482;195.625.473;254.314.987;251.391.495;179.827.850;245.702.301;0.607099
17;20766;735.642.883;196.575.912;251.569.977;248.679.657;177.886.841;247.915.939;0.628761
18;21562;734.809.509;196.235.703;255.691.895;252.632.706;180.801.468;246.317.505;0.584830
19;22034;725.857.117;199.495.529;260.478.943;257.527.344;184.186.432;250.269.073;0.650864
20;24592;724.372.070;199.416.290;260.735.901;257.701.202;184.368.118;250.075.806;0.610995
